stationID,stationName,lat,lon,count
528,2 Ave & E 31 St,40.742909,-73.977061,471
529,W 42 St & 8 Ave,40.75757,-73.990985,468
530,11 Ave & W 59 St,40.771522,-73.990541,458
531,Forsyth St & Broome St,40.718939,-73.992663,455
532,S 5 Pl & S 4 St,40.710451,-73.960876,455
533,Broadway & W 39 St,40.752996,-73.987216,450
534,Water - Whitehall Plaza,40.702551,-74.012723,437
536,1 Ave & E 30 St,40.741444,-73.975361,435
537,Lexington Ave & E 24 St,40.740259,-73.984092,428
538,E 48 St & Madison Ave,40.75666,-73.976684,427
539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,424
540,Lexington Ave & E 26 St,40.741473,-73.983209,421
545,E 23 St & 1 Ave,40.736502,-73.978095,417
546,E 30 St & Park Ave S,40.744449,-73.983035,416
3002,South End Ave & Liberty St,40.711512,-74.015756,406
3014,E.T. Bike-In Movie Valet Station ,40.722852,-73.959114,406
3016,Mobile 01,40.771052,-73.964338,396
3017,NYCBS Depot - FAR,40.751483,-73.996764,394
3019,NYCBS Depot - DEL,40.716633,-73.981933,392
3039,NYCBS Depot - DYR,40.759088,-73.993751,392
3041,Kingston Ave & Herkimer St,40.678907,-73.941428,383
3042,Fulton St & Utica Ave,40.679427,-73.929891,382
3043,Lewis Ave & Decatur St,40.68146,-73.934903,379
3044,Albany Ave & Fulton St,40.680011,-73.938475,372
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,370
3047,Halsey St & Tompkins Ave,40.682369,-73.944118,370
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,367
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,363
3050,Putnam Ave & Throop Ave,40.685153,-73.94111,362
3052,Lewis Ave & Madison St,40.686312,-73.935775,361
3053,Marcy Ave & Lafayette Ave,40.690081,-73.947915,358
3054,Greene Ave & Throop Ave,40.689493,-73.942061,355
3055,Greene Ave & Nostrand Ave,40.688334,-73.950916,354
3056,Kosciuszko St & Nostrand Ave,40.690725,-73.951335,348
3057,Kosciuszko St & Tompkins Ave,40.691283,-73.945242,343
3058,Lewis Ave & Kosciuszko St,40.692371,-73.937054,339
3059,Pulaski St & Marcus Garvey Blvd,40.693398,-73.939877,335
3060,Willoughby Ave & Tompkins Ave,40.694254,-73.946269,328
3061,Throop Ave & Myrtle Ave,40.696229,-73.943711,326
3062,Myrtle Ave & Marcy Ave,40.695398,-73.949549,317
3063,Nostrand Ave & Myrtle Ave,40.69527,-73.952381,305
3064,Myrtle Ave & Lewis Ave,40.69682,-73.937569,299
3065,Union Ave & Wallabout St,40.700295,-73.950323,299
3066,Tompkins Ave & Hopkins St,40.699576,-73.947084,285
3067,Broadway & Whipple St,40.701666,-73.94373,285
3068,Humboldt St & Varet St,40.703172,-73.940636,283
3069,Lorimer St & Broadway,40.704118,-73.948186,281
3070,McKibbin St & Manhattan Ave,40.705109,-73.944073,278
3071,Boerum St & Broadway,40.705381,-73.949765,278
3072,Leonard St & Boerum St,40.705833,-73.946446,278
3073,Division Ave & Hooper St,40.706913,-73.954417,275
3074,Montrose Ave & Bushwick Ave,40.707678,-73.940162,271
3075,Division Ave & Marcy Ave,40.707087,-73.957968,262
3076,Scholes St & Manhattan Ave,40.708704,-73.944862,262
3077,Stagg St & Union Ave,40.708771,-73.950953,261
3079,Leonard St & Grand St,40.711035,-73.947143,260
3080,S 4 St & Rodney St,40.70934,-73.95608,259
3081,Graham Ave & Grand St,40.711863,-73.944024,255
3082,Hope St & Union Ave,40.711674,-73.951413,248
3083,Bushwick Ave & Powers St,40.712477,-73.941,245
